"CWPName","SourceID","CWPStreet","CWPCity","CWPState","CWPStateDistrict","CWPZip","MasterExternalPermitNmbr","RegistryID","CWPCounty","CWPEPARegion","FacDerivedHuc","FacLat","FacLong","CWPTotalDesignFlowNmbr","CWPActualAverageFlowNmbr","ReceivingMs4Name","AssociatedPollutant","MsgpPermitType","CWPPermitStatusDesc","CWPPermitTypeDesc","CWPIssueDate","CWPEffectiveDate","CWPExpirationDate","CWPSNCStatusDate","CWPStateWaterBodyCode"
"AUSTINS ESTATE SUBDIVISION LOT 2 BLOCK 1 PHASE 6","TXR15725T","2800 THORNBERRY DR","BRYAN","TX",,"77808","TXR150000","110070392439",,"06","12070103",30.69129,-96.33354,,,,,,"Effective","General Permit Covered Facility",12/05/2018,01/01/2019,03/04/2023,09/30/2018,
"BARRON CREST SUBDIVISION","TXR15610N","2716 BARRON RD","COLLEGE STATION","TX",,"77845-9168","TXR150000","110070357366",,"06","12070103",30.55661,-96.29154,,,,,,"Effective","General Permit Covered Facility",05/24/2018,06/01/2018,03/05/2023,09/30/2018,
"BARTLETT 1","TX0120421","SWISHER COUNTY","AMARILLO","TX",,"00000",,"110039193271","Swisher","06",,30.666576,-96.36552,,,,,,"Terminated","NPDES Individual Permit",01/14/2000,01/14/2000,07/27/2004,09/30/2018,
"BEE CREEK SANITARY SEWER TRUNK LINE REHABILITATION PHASE 2","TXR15647M","THE SITE RUNS FROM NEAR THE INTERSECTION OF N FORE","COLLEGE STATION","TX",,"77845","TXR150000","110070376391",,"06","12070103",30.613008,-96.285237,,,,,,"Effective","General Permit Covered Facility",05/14/2018,06/01/2018,03/05/2023,09/30/2018,
"BOSSIER PARISH RESOURCE CENTER","LAG830191","3228 BARKDALE BLVD","BENTON","LA",,"71111","LAG830000","110016696832","Bossier","06","12070103",30.61602,-96.28182,,,,,,"Terminated","General Permit Covered Facility",12/15/2012,12/15/2012,12/14/2017,09/30/2018,"11140204"
"BOULDER CREEK PH 1","TXR15836U","START AT JESTER TRAIL AND CHICK LN IN BRYAN TEXAS.","BRYAN","TX",,"77807","TXR150000","TXR15836U",,"06",,30.627403,-96.397149,,,,,,"Pending","General Permit Covered Facility",01/24/2019,02/01/2019,03/04/2023,09/30/2018,
"BOWMAN","TXR15771L","4236 BOONVILLE RD","BRYAN","TX",,"77802-3674","TXR150000","110070373045",,"06","12070103",30.66325,-96.30523,,,,,,"Terminated","General Permit Covered Facility",04/27/2018,05/01/2018,03/05/2023,09/30/2018,
"BRAYTON FIRE TRAINING FIELD","TX0090883","1595 NUCLEAR SCIENCE RD","COLLEGE STATION","TX",,"778438000",,"110009747060","Brazos","06","12070101",30.582417,-96.354944,,2,,,,"Admin Continued","NPDES Individual Permit",12/20/2013,01/01/2014,12/01/2018,09/30/2018,"1242"
"BRAZOS COUNTY JUVENILE JUSTICE CENTER","TXR15013P","1904 W HIGHWAY 21","BRYAN","TX",,"77803-1217","TXR150000","110070363152",,"06","12070101",30.674511,-96.394756,,,,,,"Effective","General Permit Covered Facility",06/14/2018,07/01/2018,03/05/2023,09/30/2018,
"BRAZOS COUNTY MS4","TXR040172","URBANIZED AREA OUTSIDE CITY","BRYAN","TX",,"77803","TXR040000","110038372695","Brazos","06","12070101",30.565833,-96.333611,,,,,,"Admin Continued","General Permit Covered Facility",11/06/2014,12/01/2014,12/13/2018,09/30/2018,
"BRAZOS VALLEY REYCLING","TXR05BU23","8825 STEWARTS MDWS","COLLEGE STATION","TX",,"77845-8536","TXR050000","110070370621",,"06","12070101",30.571403,-96.406258,,,,,,"Effective","General Permit Covered Facility",10/20/2017,11/01/2017,08/13/2021,09/30/2018,
"BRICKYARD METAL RECYCLING","TXR05BQ65","2800 N TEXAS AVE","BRYAN","TX",,"77803-1039","TXR050000","110070357640",,"06","12070101",30.6955,-96.38191,,,,,,"Effective","General Permit Covered Facility",06/05/2017,07/01/2017,08/13/2021,09/30/2018,
"BRM 5","TXG111948","1391 OLD ARRINGTON RD","BRYAN-COLLEGE STATION DIVISION","TX",,"77845","TXG110000","110070004135","Brazos","06",,30.55565,-96.291099,,,,,,"Effective","General Permit Covered Facility",12/27/2016,01/01/2017,11/07/2021,09/30/2018,"1204"
"BROADSTONE TRADITIONS","TXR10F50H","NW OF ATLAS PEAR DRIVE AND F AND B ROAD","BRYAN","TX",,"77807","TXR10F000","110070110186",,"06","12070101",30.6052,-96.3838,,,,,,"Effective","General Permit Covered Facility",10/06/2017,10/06/2017,02/15/2022,09/30/2018,
"BROADSTONE TRADITIONS","TXR15515C","8000 ATLAS PEAR DR","BRYAN","TX",,"77807-1400","TXR150000","110070371026",,"06","12070101",30.60482,-96.38078,,,,,,"Terminated","General Permit Covered Facility",05/14/2018,06/01/2018,03/05/2023,09/30/2018,
"BROADSTONE TRADITIONS","TXR10F50D","NW OF ATLAS PEAR DRIVE AND F AND B ROAD","BRYAN","TX",,"77807","TXR10F000","110070110186",,"06","12070101",30.6052,-96.3838,,,,,,"Terminated","General Permit Covered Facility",10/05/2017,10/05/2017,02/15/2022,09/30/2018,
"BRYAN BIN","TXR05BD69","6941 E HIGHWAY 21","BRYAN","TX",,"77808","TXR050000","110033506828","Brazos","06","12070103",30.71106,-96.34567,,,,,,"Effective","General Permit Covered Facility",10/25/2016,11/01/2016,08/13/2021,09/30/2018,
"BRYAN FACILITY","TXR05T396","1613 GOOSENECK DR","BRYAN","TX",,"77808-0923","TXR050000","110070365035",,"06","12070103",30.7047,-96.35399,,,,,,"Effective","General Permit Covered Facility",10/14/2016,11/01/2016,08/13/2021,09/30/2018,
"BRYAN IRON & METAL","TXR05AZ74","2011 W HIGHWAY 21","BRYAN","TX",,"77803-1220","TXR050000","110033433504","Brazos","06","12070101",30.67347,-96.396805,,,,,,"Effective","General Permit Covered Facility",10/20/2017,11/01/2017,08/13/2021,09/30/2018,
"BRYAN PLACE ADDITION","TXR15473T","1222 BITTLE LN","BRYAN","TX",,"77801","TXR150000","110070389669",,"06","12070103",30.651132,-96.37749,,,,,,"Effective","General Permit Covered Facility",11/21/2018,12/01/2018,03/04/2023,09/30/2018,
"BRYAN WEST TIE-IN","TXR10F47A","HIGHWAY 47 & HEALTH SCIENCE CENTER PARKWAY","BRYAN","TX",,"77845","TXR10F000","110070048849",,"06","12070101",30.595815,-96.390269,,,,,,"Terminated","General Permit Covered Facility",03/17/2017,03/17/2017,02/15/2022,09/30/2018,
"BURTON CREEK WWTP","TXR05Q529","300 PARK RD","BRYAN","TX",,"77805","TXR050000","110070374008",,"06","12070103",30.64072,-96.32241,,,,,,"Effective","General Permit Covered Facility",10/28/2016,11/01/2016,08/13/2021,09/30/2018,
"BURTON CREEK WWTP","TX0022616","300 PARK RD","BRYAN","TX",,"77805",,"110000502769","Brazos","06","12070103",30.641047,-96.3211,8,,,,,"Effective","NPDES Individual Permit",09/06/2018,10/01/2018,09/06/2023,09/30/2018,"120701030340"
"CAIN HALL REDEVELOPMENT","TXR15082K","500 GENE STALLINGS BLVD","COLLEGE STATION","TX",,"77840","TXR150000","110070372701",,"06","12070101",30.611687,-96.343497,,,,,,"Terminated","General Permit Covered Facility",03/19/2018,04/01/2018,03/05/2023,09/30/2018,
"CAMILLO - OAKWOOD FOREST","TXR15233O","NORTH OF N. TX AVE. AT OAKWOOD FOREST","BRYAN","TX",,"77803","TXR150000","110070371167",,"06","12070101",30.71515,-96.40263,,,,,,"Effective","General Permit Covered Facility",05/31/2018,06/01/2018,03/05/2023,09/30/2018,
"CAMWEST PHASE 1","TXR15935O","8872 HSC PKWY","BRYAN","TX",,"77807-1107","TXR150000","110070365419",,"06","12070101",30.603079,-96.378632,,,,,,"Effective","General Permit Covered Facility",06/13/2018,07/01/2018,03/05/2023,09/30/2018,
"CARRABBA INDUSTRIAL PARK PHASE 11 & 13 A","TXR15543S","ON HWY 21, 1.1 MILES EAST FROM THE INTERSECTION OF","BRYAN","TX",,"77808","TXR150000","110070383846",,"06","12070103",30.70925,-96.347477,,,,,,"Effective","General Permit Covered Facility",10/15/2018,11/01/2018,03/04/2023,09/30/2018,
"CARTERS CREEK WASTEWATER TREATMENT PLANT","TXR05CU94","2200 N FOREST PKWY","COLLEGE STATION","TX",,"77845","TXR050000","110070368526",,"06","12070103",30.61602,-96.28182,,,,,,"Effective","General Permit Covered Facility",08/30/2016,09/01/2016,08/13/2021,09/30/2018,
"CITY OF BRYAN MS4","TXR040336","AREA WITHIN THE CITY OF BRYAN LIMITS THAT IS","BRYAN","TX",,"77805","TXR040000","110039175148","Brazos","06","12070101",30.671,-96.3708,,,,,,"Admin Continued","General Permit Covered Facility",10/27/2014,11/01/2014,12/13/2018,09/30/2018,
"CITY OF COLLEGE STATION MS4","TXR040008","WITHIN CITY OF COLLEGE STATION LIMITS","COLLEGE STATION","TX",,"77842","TXR040000","110043267050","Brazos","06",,30.596216,-96.305486,,,,,,"Admin Continued","General Permit Covered Facility",01/12/2015,02/01/2015,12/13/2018,09/30/2018,"1204"
"CLIMATE DOCTORSSTANDARD SUPPLY","TXR15777U","10129 SH 30","BRYAN","TX",,"77845","TXR150000","TXR15777U",,"06",,30.653798,-96.271489,,,,,,"Pending","General Permit Covered Facility",01/23/2019,02/01/2019,03/04/2023,09/30/2018,
"COBRA PROTECTIVE COATINGS","TXR05BJ53","6248 W HWY 21","BRYAN","TX",,"77807","TXR050000","110070360377",,"06","12070101",30.67111,-96.40145,,,,,,"Effective","General Permit Covered Facility",06/23/2017,07/01/2017,08/13/2021,09/30/2018,
"COLLEGE STATION POLICE HEADQUARTERS","TXR15503T","PROJECT LOCATED ON DARTMOUTH STREET AND KRENEK TAP","COLLEGE STATION","TX",,"77845","TXR150000","110070390267",,"06","12070103",30.609167,-96.299634,,,,,,"Effective","General Permit Covered Facility",11/26/2018,12/01/2018,03/04/2023,09/30/2018,
"COOPERS BBQ","TXR15057T","PROJECT LOCATED ON TEXAS HIGHWAY 6 AT THE CORNER O","COLLEGE STATION","TX",,"77845","TXR150000","110070387732",,"06","12070103",30.599431,-96.288818,,,,,,"Effective","General Permit Covered Facility",11/05/2018,12/01/2018,03/05/2023,09/30/2018,
"CORDOVA RIDGE","TXR10F4RV","SE OF PASSENDALE LANE & RENEE LANE","COLLEGE STATION","TX",,"77845","TXR10F000","110070100341",,"06","12070103",30.5618,-96.291,,,,,,"Effective","General Permit Covered Facility",07/28/2017,07/28/2017,02/15/2022,09/30/2018,
"CORDOVA RIDGE","TXR10F4RZ","SE OF PASSENDALE LANE & RENEE LANE","COLLEGE STATION","TX",,"77845","TXR10F000","110070100341",,"06","12070103",30.5618,-96.291,,,,,,"Effective","General Permit Covered Facility",07/28/2017,07/28/2017,02/15/2022,09/30/2018,
"COULTER FIELD","TXR05DS44","6120 E STATE HIGHWAY 21","BRYAN","TX",,"77808-8642","TXR050000","110034655022","Brazos","06","12070103",30.720172,-96.33791,,,,,,"Effective","General Permit Covered Facility",09/22/2017,10/01/2017,08/13/2021,09/30/2018,
"CREEK MEADOWS SEC 1 C PH 2-4","TXR15092P","DIRECTLY BEHIND PALISANOS MARTIAL ARTS LOCATED AT","COLLEGE STATION","TX",,"77845","TXR150000","110070373197",,"06",,30.55565,-96.291099,,,,,,"Effective","General Permit Covered Facility",06/18/2018,07/01/2018,03/05/2023,09/30/2018,
"CRESCENT POINT PARKWAY","TXR15772L","2301 CRESCENT POINT PARKWAY","COLLEGE STATION","TX",,"77845","TXR150000","110070376328",,"06","12070103",30.64844,-96.28709,,,,,,"Effective","General Permit Covered Facility",04/27/2018,05/01/2018,03/05/2023,09/30/2018,
"CRUZ SALVAGE YARD","TXR05AL43","2506 W 28TH ST","BRYAN","TX",,"77803-2103","TXR050000","110010657324","Brazos","06","12070101",30.66748,-96.3987,,,,,,"Effective","General Permit Covered Facility",10/21/2016,11/01/2016,08/13/2021,09/30/2018,
"CSISD ELEMENTARY SCHOOL 10","TXR15420M","CORNER OF ROCK PRAIRIE AND HOLLEMAN DRIVE SOUTH. 4","COLLEGE STATION","TX",,"77840","TXR150000","110070359932",,"06","12070101",30.562943,-96.323823,,,,,,"Effective","General Permit Covered Facility",05/09/2018,06/01/2018,03/05/2023,09/30/2018,
"DARTMOUTH STREET EXTENSION PHASE 1","TXR15517U","2338 HARVEY MITCHELL PKWY S","COLLEGE STATION","TX",,"77845","TXR150000","TXR15517U",,"06",,30.604101,-96.296435,,,,,,"Pending","General Permit Covered Facility",01/14/2019,02/01/2019,03/04/2023,09/30/2018,
"DOGGETT AUTO PARTS","TXR05AV27","3601 OLD KURTEN RD","BRYAN","TX",,"77808-5432","TXR050000","110034653747","Brazos","06","12070103",30.69785,-96.3556,,,,,,"Effective","General Permit Covered Facility",02/27/2017,03/01/2017,08/13/2021,09/30/2018,
"DYNACON","TXR05DQ81","830 INDUSTRIAL BLVD","BRYAN","TX",,"77803-2007","TXR050000","110070368356",,"06","12070101",30.656504,-96.407317,,,,,,"Effective","General Permit Covered Facility",11/03/2017,12/01/2017,08/13/2021,09/30/2018,
"EAST GATE REHABILITATION PROJECT PHASE IV","TXR15727G","INTERSECTION OF TEXAS AVE & FRANCIS DR AND TEXAS A","COLLEGE STATION","TX",,"77840","TXR150000","110070367019",,"06","12070103",30.62123,-96.32704,,,,,,"Effective","General Permit Covered Facility",05/14/2018,06/01/2018,03/05/2023,09/30/2018,
"EASTERWOOD AIRPORT","TXR05Y578","1 MCKENZIE TERMINAL BLVD","COLLEGE STATION","TX",,"77845-8501","TXR050000","110070373694",,"06","12070101",30.59486,-96.36603,,,,,,"Effective","General Permit Covered Facility",02/27/2017,03/01/2017,08/13/2021,09/30/2018,
"EDGEWATER","TXR15811N","1700 FEET SOUTH OF THE INTERSECTION OF LEONARD RD.","BRYAN","TX",,"77807","TXR150000","110070376743",,"06","12070101",30.626422,-96.401175,,,,,,"Effective","General Permit Covered Facility",05/28/2018,06/01/2018,03/05/2023,09/30/2018,
"EDGEWATER SUBDIVISION","TXR15651F","THE PROJECT SITE IS LOCATED ON CHICK LANE, BRYAN,","BRYAN","TX",,"77807","TXR150000","110070356624",,"06","12070101",30.625651,-96.401266,,,,,,"Effective","General Permit Covered Facility",05/30/2018,06/01/2018,03/05/2023,09/30/2018,
"FEDERAL EXPRESS COLLEGE STATION","TXR05CZ16","3205 LONGMIRE DR","COLLEGE STATION","TX",,"77845-5809","TXR050000","110005119166","Brazos","06","12070103",30.58698,-96.28984,,,,,,"Effective","General Permit Covered Facility",11/04/2016,12/01/2016,08/13/2021,09/30/2018,
"FINISHING CENTER","TXRNEZ245","350 STONE CITY DR","BRYAN","TX",,"77803","TXR050000","110070376816",,"06","12070101",30.65108,-96.40288,,,,,,"Effective","General Permit Covered Facility",08/17/2016,09/01/2016,08/13/2021,09/30/2018,
"FOREST MILLER","TXR15648F","9017 GREEN BRANCH LOOP","BRYAN","TX",,"77808-4918","TXR150000","110070368004",,"06","12070103",30.695587,-96.265739,,,,,,"Effective","General Permit Covered Facility",05/14/2018,06/01/2018,03/05/2023,09/30/2018,
"FOREST MILLER","TXR15424O","9017 GREEN BRANCH LOOP","BRYAN","TX",,"77808-4918","TXR150000","110070368004",,"06","12070103",30.695587,-96.265739,,,,,,"Effective","General Permit Covered Facility",06/04/2018,07/01/2018,03/05/2023,09/30/2018,
"FOREST PINES APARTMENTS","TXR15160L","852 N HARVEY MITCHELL PKWY","BRYAN","TX",,"77807-1015","TXR150000","110070362818",,"06","12070101",30.641573,-96.385282,,,,,,"Effective","General Permit Covered Facility",04/12/2018,05/01/2018,03/05/2023,09/30/2018,
"FOUNTAIN AVENUE PRODUCTION FACILITY","TXRNEZ246","1460 FOUNTAIN AVE","BRYAN","TX",,"77801-1129","TXR050000","110070368338",,"06","12070103",30.65659,-96.37367,,,,,,"Effective","General Permit Covered Facility",08/17/2016,09/01/2016,08/13/2021,09/30/2018,
"FRANCIS DRIVE REHABILITATION PROJECT PHASES 1 AND 2","TXR15978I","LOCATED ON FRANCIS DRIVE FROM WALTON DRIVE TO GLEN","COLLEGE STATION","TX",,"77840","TXR150000","110070362074",,"06","12070103",30.630188,-96.318209,,,,,,"Effective","General Permit Covered Facility",04/12/2018,05/01/2018,03/05/2023,09/30/2018,
"GEOCHEMICAL AND ENVIRONMENTAL RESEARCH GROUP","TXR15419R","PROJECT IS LOCATED AT THE INTERSECTION OF HIBISCUS","COLLEGE STATION","TX",,"77845","TXR150000","110070357956",,"06","12070103",30.571111,-96.294444,,,,,,"Effective","General Permit Covered Facility",09/05/2018,10/01/2018,03/05/2023,09/30/2018,
"GOOSENECK TRAILER MFG","TXR05Z267","4400 HIGHWAY 21 E","BRYAN","TX",,"77808-0947","TXR050000","110000599647","Brazos","06","12070103",30.704748,-96.351051,,,,,,"Effective","General Permit Covered Facility",10/07/2016,11/01/2016,08/13/2021,09/30/2018,
"GREENBRIAR PHASE 16","TXR15205U","LOCATED NEAR THE CORNER OF INTERSECTION OF THORNBE","BRYAN","TX",,"77802","TXR150000","TXR15205U",,"06",,30.6799,-96.3236,,,,,,"Effective","General Permit Covered Facility",12/28/2018,01/01/2019,03/04/2023,09/30/2018,
"GREENBRIAR PHS. 14","TXR10F5JE","NORTH OF THRONEBERRY DRIVE AND RIVER ROCK DRIVE","BRYAN","TX",,"77808","TXR10F000","110070210415",,"06","12070103",30.6829,-96.321,,,,,,"Effective","General Permit Covered Facility",03/15/2018,03/15/2018,02/15/2022,09/30/2018,
"GREENBRIAR PHS. 14","TXR10F5JN","NORTH OF THRONEBERRY DR. AND RIVER ROCK DR.","BRYAN","TX",,"77080","TXR10F000","110070218021",,"06","12070103",30.6829,-96.321,,,,,,"Effective","General Permit Covered Facility",03/16/2018,03/16/2018,02/15/2022,09/30/2018,
"GREENBRIER PHS. 6B","TXR10F5O9","NORTH OF THORNBERRY DRIVE AND FAIRFAX GREEN","BRYAN","TX",,"77808","TXR10F000","110070229195",,"06","12070103",30.6801,-96.3181,,,,,,"Terminated","General Permit Covered Facility",04/09/2018,04/09/2018,02/15/2022,09/30/2018,
"GREENBRIER PHS. 6B","TXR10F5OC","NORTH OF THORNBERRY DRIVE AND FAIRFAX GREEN","BRYAN","TX",,"77808","TXR10F000","110070229195",,"06","12070103",30.6801,-96.3181,,,,,,"Terminated","General Permit Covered Facility",04/10/2018,04/10/2018,02/15/2022,09/30/2018,
"HEAT TRANSFER RESEARCH","TX0106526","0.25MI SW INTX FM 2818 AND FM 2347","COLLEGE STATION","TX",,"77845",,"110039192307","Brazos","06","12070101",30.589922,-96.352463,,,,,,"Terminated","NPDES Individual Permit",11/23/2004,11/23/2004,12/01/2008,09/30/2018,"12070101"
"HIDDEN OAKS ESTATES","TXR15WF28","APPROXIMATELY 3/4 MILE SOUTHWEST OF GRASSBURR RD,","BRAYN","TX",,"77808","TXR150000","110070356120",,"06","12070103",30.71026,-96.26011,,,,,,"Effective","General Permit Covered Facility",05/14/2018,06/01/2018,03/05/2023,09/30/2018,
"HOLLEMAN DRIVE SOUTH REHABILITATION","TXR15768J","HOLLEMAN DRIVE SOUTH BETWEEN DOWLING ROAD AND ROCK","COLLEGE STATION","TX",,"77845","TXR150000","110070367899",,"06","12070103",30.57466,-96.32728,,,,,,"Effective","General Permit Covered Facility",03/12/2018,04/01/2018,03/05/2023,09/30/2018,
"HOLLEMAN EXTENSION","TXR10F4N6","NW OF HOLLEMAN DR. & COTTAGE LANE","COLLEGE STATION","TX",,"77840","TXR10F000","110070080439",,"06","12070103",30.5857,-96.3379,,,,,,"Effective","General Permit Covered Facility",06/15/2017,06/15/2017,02/15/2022,09/30/2018,
"IHOP - COLLEGE STATION","TXR15017S","SITE IS LOCATED APPROXIMATELY 0.3 MILES NORTHWEST","COLLEGE STATION","TX",,"77845","TXR150000","110070367081",,"06","12070103",30.561621,-96.262226,,,,,,"Effective","General Permit Covered Facility",09/25/2018,10/01/2018,03/05/2023,09/30/2018,
"JOHN DEERE NURSERY","TXR15840P","10253 STATE 30 HWY","COLLEGE STATION","TX",,"77845","TXR150000","110070377419",,"06","12070103",30.652444,-96.26975,,,,,,"Effective","General Permit Covered Facility",07/11/2018,08/01/2018,03/05/2023,09/30/2018,
"JONES CROSSING","TXR15095F","11675 FM 2154","COLLEGE STATION","TX",,"77840","TXR150000","110070364229",,"06","12070103",30.584166,-96.322222,,,,,,"Terminated","General Permit Covered Facility",03/07/2018,04/01/2018,03/05/2023,09/30/2018,
"KBARC WWTP","TX0135178","6932 FM 1179","BRYAN","TX",,"77808",,"110058289800","Brazos","06","12070103",30.70148,-96.283908,,,,,,"Pending","NPDES Individual Permit",,,,09/30/2018,"1204"
"KINSMEN HOMES","TXR15347M","2932 ARCHER DR","BRYAN","TX",,"77808-1463","TXR150000","110070367809",,"06","12070103",30.686928,-96.32711,,,,,,"Effective","General Permit Covered Facility",05/08/2018,06/01/2018,03/05/2023,09/30/2018,
"KRUTEN FARM","TX0051578","E SIDE OF ST HWY 21","KRUTEN","TX",,"00000",,"110039173710","Brazos","06",,30.656725,-96.302389,,,,,,"Terminated","NPDES Individual Permit",06/11/1999,06/11/1999,06/11/2004,09/30/2018,
"LACY WELLS SAND & GRAVEL PIT","TXR05ED80","6900 LACY WELL RD","COLLEGE STATION","TX",,"77845","TXR050000","110033942321","Brazos","06","12070101",30.57265,-96.40083,,,,,,"Effective","General Permit Covered Facility",09/27/2018,10/01/2018,08/13/2021,09/30/2018,
"LAKEWAY DRIVE EXTENSION","TXR15515F","EXTENSION OF EXISTING LAKEWAY DRIVE THAT IS PARALL","COLLEGE STATION","TX",,"77845","TXR150000","110070376499",,"06","12070103",30.57231,-96.27386,,,,,,"Effective","General Permit Covered Facility",05/31/2018,06/01/2018,03/05/2023,09/30/2018,
"LEADERSHIP TX CHARTER","TXR10F5F4","SOUTH OF BRMINGHAM DR. & GRAHAM ROAD","COLLEGE STATION","TX",,"77845","TXR10F000","110070203090",,"06","12070103",30.5761,-96.2877,,,,,,"Effective","General Permit Covered Facility",02/08/2018,02/08/2018,02/15/2022,09/30/2018,
"LEADERSHIP TX CHARTER","TXR10F5EY","SOUTH OF BIRMINGHAM DR. AND GRAHAM ROAD","COLLEGE STATION","TX",,"77845","TXR10F000","110070201599",,"06","12070103",30.5761,-96.2877,,,,,,"Effective","General Permit Covered Facility",02/08/2018,02/08/2018,02/15/2022,09/30/2018,
